	Signature.1	Signature.2	Signature.3	Signature.13	Signature.6	out
TCGA-AR-A1AT-01A-11D-A12Q-09	0	0	11	0	14	0
TCGA-AR-A1AU-01A-11D-A12Q-09	18	2	0	0	0	0
TCGA-AR-A1AV-01A-21D-A12Q-09	27	4	3	0	3	0
TCGA-AR-A1AW-01A-21D-A12Q-09	4	0	8	0	7	0
TCGA-AR-A1AX-01A-11D-A12Q-09	8	2	4	0	1	0
TCGA-AR-A1AY-01A-21D-A12Q-09	10	8	16	0	12	0
TCGA-AR-A24H-01A-11D-A167-09	29	0	74	13	0	0
TCGA-AR-A24K-01A-11D-A167-09	15	0	12	0	0	0
TCGA-AR-A24L-01A-11D-A167-09	3	0	34	4	0	0
TCGA-AR-A24M-01A-11D-A167-09	5	0	3	0	13	0
TCGA-AR-A24N-01A-11D-A167-09	16	5	0	0	8	0
TCGA-AR-A24O-01A-11D-A167-09	15	0	3	0	0	0
TCGA-AR-A24P-01A-11D-A167-09	3	0	3	0	9	0
TCGA-AR-A24Q-01A-12D-A167-09	0	17	101	0	21	0
TCGA-AR-A24R-01A-11D-A167-09	4	0	6	0	9	0
TCGA-AR-A24S-01A-11D-A167-09	14	6	15	0	6	0
TCGA-AR-A24T-01A-11D-A167-09	19	0	0	0	0	0
TCGA-AR-A24U-01A-11D-A167-09	0	4	0	8	10	0
TCGA-AR-A24V-01A-21D-A167-09	11	2	3	0	11	0
TCGA-AR-A24W-01A-11D-A17G-09	4	1	2	0	0	0
TCGA-AR-A24X-01A-11D-A167-09	13	0	11	0	4	0
TCGA-AR-A24Z-01A-11D-A167-09	0	0	23	0	15	0
TCGA-AR-A250-01A-31D-A167-09	19	8	16	14	7	0
TCGA-AR-A251-01A-12D-A167-09	0	0	120	12	11	0
TCGA-AR-A252-01A-11D-A167-09	1	0	0	0	7	0
TCGA-AR-A254-01A-21D-A167-09	18	3	4	0	2	0
TCGA-AR-A255-01A-11D-A167-09	16	8	26	0	4	0
TCGA-AR-A256-01A-11D-A167-09	24	17	137	0	0	0
TCGA-AR-A2LE-01A-11D-A17W-09	41	175	0	95	0	0
TCGA-AR-A2LH-01A-31D-A18P-09	4	9	0	5	4	0
TCGA-AR-A2LJ-01A-12D-A19Y-09	2	0	5	1	8	0
TCGA-AR-A2LK-01A-11D-A17W-09	19	3	4	0	10	0
TCGA-AR-A2LL-01A-11D-A17W-09	23	0	6	0	0	0
TCGA-AR-A2LM-01A-11D-A17W-09	4	0	10	0	0	0
TCGA-AR-A2LN-01A-21D-A18P-09	13	19	4	0	0	1
TCGA-AR-A2LO-01A-31D-A18P-09	3	0	5	0	3	0
TCGA-AR-A2LQ-01A-22D-A18P-09	4	0	0	0	2	0
TCGA-AR-A2LR-01A-12D-A18P-09	21	0	23	0	9	0
TCGA-AR-A5QM-01A-11D-A27P-09	12	0	11	0	9	0
TCGA-AR-A5QN-01A-12D-A28B-09	4	6	0	0	30	0
TCGA-AR-A5QP-01A-11D-A28B-09	9	5	3	0	6	0
TCGA-AR-A5QQ-01A-11D-A28B-09	0	6	39	0	12	0
TCGA-B6-A0I1-01A-11D-A21Q-09	37	0	24	0	0	0
TCGA-B6-A0I2-01A-11W-A050-09	26	0	6	18	0	0
TCGA-B6-A0I5-01A-11W-A100-09	0	0	4	1	15	0
TCGA-B6-A0I6-01A-11D-A128-09	0	7	79	0	17	0
TCGA-B6-A0I8-01A-11W-A050-09	15	7	74	0	0	1
TCGA-B6-A0I9-01A-11W-A050-09	48	0	20	0	0	0
TCGA-B6-A0IA-01A-11W-A050-09	1	5	6	0	7	0
TCGA-B6-A0IB-01A-11W-A050-09	6	3	16	3	16	0
TCGA-B6-A0IC-01A-11W-A050-09	0	4	14	0	14	0
TCGA-B6-A0IE-01A-11W-A050-09	17	0	9	0	0	0
TCGA-B6-A0IG-01A-11W-A050-09	24	2	6	0	0	0
TCGA-B6-A0IH-01A-11D-A10Y-09	3	2	4	0	14	0
TCGA-B6-A0IJ-01A-11W-A050-09	18	0	93	17	0	0
TCGA-B6-A0IK-01A-12W-A071-09	26	57	0	33	11	0
TCGA-B6-A0IM-01A-11W-A050-09	19	0	9	0	0	0
TCGA-B6-A0IN-01A-11W-A050-09	4	3	6	0	11	0
TCGA-B6-A0IO-01A-11W-A050-09	22	17	0	6	14	0
TCGA-B6-A0IP-01A-11D-A045-09	7	0	5	0	12	0
TCGA-B6-A0IQ-01A-11W-A050-09	22	5	20	0	0	0
TCGA-B6-A0RE-01A-11W-A071-09	13	0	44	24	8	0
TCGA-B6-A0RG-01A-11W-A071-09	7	0	36	8	0	0
TCGA-B6-A0RH-01A-21D-A10Y-09	18	8	9	0	0	0
TCGA-B6-A0RI-01A-11W-A071-09	6	2	3	0	0	0
TCGA-B6-A0RN-01A-12D-A099-09	20	0	4	0	7	0
TCGA-B6-A0RO-01A-22D-A099-09	0	0	17	0	13	0
TCGA-B6-A0RP-01A-21D-A099-09	0	0	14	0	6	0
TCGA-B6-A0RQ-01A-11D-A10Y-09	11	0	3	2	0	0
TCGA-B6-A0RT-01A-21D-A099-09	1	0	4	5	0	0
TCGA-B6-A0RU-01A-11D-A099-09	9	5	17	0	4	0
TCGA-B6-A0RV-01A-11D-A099-09	11	15	0	18	0	0
TCGA-B6-A0WS-01A-11D-A10Y-09	7	3	6	0	4	0
TCGA-B6-A0WT-01A-11D-A10G-09	5	0	3	0	12	0
TCGA-B6-A0WV-01A-11D-A10G-09	0	0	14	2	7	0
TCGA-B6-A0WW-01A-11D-A10G-09	7	7	6	2	11	0
TCGA-B6-A0WX-01A-11D-A10G-09	10	0	11	0	8	0
TCGA-B6-A0WY-01A-11D-A10G-09	0	1	4	0	8	0
TCGA-B6-A0WZ-01A-11D-A10G-09	5	16	13	5	0	0
TCGA-B6-A0X0-01A-21D-A10Y-09	7	0	14	0	0	0
TCGA-B6-A0X1-01A-11D-A10G-09	17	4	36	5	0	0
TCGA-B6-A0X4-01A-11D-A10G-09	15	0	2	0	0	0
TCGA-B6-A0X5-01A-21D-A10G-09	20	3	9	0	0	0
TCGA-B6-A0X7-01A-11D-A10M-09	17	0	0	0	0	0
TCGA-B6-A1KC-01B-11D-A159-09	13	0	11	0	0	0
TCGA-B6-A1KF-01A-11D-A13L-09	10	6	21	0	9	0
TCGA-B6-A1KI-01A-11D-A14K-09	6	0	11	0	0	0
TCGA-B6-A1KN-01A-11D-A13L-09	13	0	28	0	13	0
TCGA-B6-A2IU-01A-32D-A19T-09	6	13	0	0	24	0
TCGA-B6-A3ZX-01A-11D-A23C-09	0	7	29	4	14	0
TCGA-B6-A400-01A-11D-A23C-09	16	0	97	0	15	0
TCGA-B6-A401-01A-11D-A23C-09	15	0	11	0	0	0
TCGA-B6-A402-01A-11D-A23C-09	14	7	11	5	28	0
TCGA-B6-A408-01A-12D-A243-09	28	7	11	0	0	0
TCGA-B6-A409-01A-11D-A243-09	15	3	18	0	0	0
TCGA-B6-A40B-01A-11D-A23C-09	7	11	32	0	13	0
TCGA-B6-A40C-01A-11D-A23C-09	26	0	12	0	0	0
TCGA-BH-A0AU-01A-11D-A12Q-09	0	0	5	3	10	0
TCGA-BH-A0AV-01A-31D-A10Y-09	10	0	39	7	8	0
TCGA-BH-A0AW-01A-11W-A071-09	20	37	37	25	16	0
TCGA-BH-A0AY-01A-21W-A019-09	25	3	13	0	0	0
TCGA-BH-A0AZ-01A-21D-A12Q-09	0	10	37	0	6	1
TCGA-BH-A0B0-01A-21D-A10Y-09	9	31	0	5	6	0
TCGA-BH-A0B1-01A-12W-A071-09	9	0	15	0	17	0
TCGA-BH-A0B3-01A-11W-A071-09	4	5	14	0	12	0
TCGA-BH-A0B4-01A-11W-A019-09	12	8	29	4	6	1
TCGA-BH-A0B5-01A-11D-A12Q-09	10	24	0	23	5	0
TCGA-BH-A0B6-01A-11D-A19Y-09	59	411	51	309	0	0
TCGA-BH-A0B7-01A-12D-A10Y-09	3	1	7	0	4	0
TCGA-BH-A0B8-01A-21W-A071-09	9	6	12	0	5	0
TCGA-BH-A0B9-01A-11W-A071-09	16	0	8	6	3	0
TCGA-BH-A0BA-01A-11W-A071-09	2	3	9	0	12	0
TCGA-BH-A0BC-01A-22D-A099-09	7	4	9	2	9	0
TCGA-BH-A0BD-01A-11W-A050-09	6	0	9	0	1	0
TCGA-BH-A0BF-01A-21D-A12Q-09	10	0	13	4	2	0
TCGA-BH-A0BG-01A-11D-A10Y-09	4	6	26	0	6	0
TCGA-BH-A0BJ-01A-11W-A071-09	0	0	12	0	4	0
TCGA-BH-A0BL-01A-11D-A10Y-09	28	0	18	0	0	1
TCGA-BH-A0BM-01A-11W-A071-09	4	0	12	0	5	0
TCGA-BH-A0BO-01A-23D-A12B-09	5	0	3	5	7	0
TCGA-BH-A0BP-01A-11D-A10Y-09	35	19	51	10	14	0
TCGA-BH-A0BQ-01A-21D-A10Y-09	13	0	5	0	3	0
TCGA-BH-A0BR-01A-21W-A12T-09	30	19	0	0	0	0
TCGA-BH-A0BS-01A-11D-A12Q-09	5	2	4	0	0	0
TCGA-BH-A0BT-01A-11D-A12Q-09	3	6	4	0	18	0
TCGA-BH-A0BV-01A-11W-A019-09	0	8	11	0	9	0
TCGA-BH-A0BW-01A-11D-A10Y-09	8	0	44	0	25	0
TCGA-BH-A0BZ-01A-31D-A12Q-09	18	0	165	13	14	0
TCGA-BH-A0C0-01A-21W-A071-09	0	6	51	0	14	0
TCGA-BH-A0C1-01B-11D-A12B-09	0	6	0	0	24	0
TCGA-BH-A0C3-01A-21D-A12Q-09	7	0	7	0	0	0
TCGA-BH-A0C7-01B-11D-A10Y-09	13	2	15	0	3	0
TCGA-BH-A0DD-01A-31D-A12Q-09	12	2	0	0	7	0
TCGA-BH-A0DE-01A-11D-A10Y-09	22	0	8	0	0	0
TCGA-BH-A0DG-01A-21D-A12Q-09	6	0	11	4	3	0
TCGA-BH-A0DH-01A-11D-A099-09	0	14	9	0	13	0
TCGA-BH-A0DI-01A-21D-A12Q-09	17	4	3	4	4	0
TCGA-BH-A0DK-01A-21W-A071-09	27	5	49	0	0	0
TCGA-BH-A0DL-01A-11D-A10Y-09	0	8	13	0	20	0
TCGA-BH-A0DO-01B-11D-A12B-09	5	5	2	0	7	0
TCGA-BH-A0DP-01A-21W-A071-09	9	3	14	0	0	0
TCGA-BH-A0DQ-01A-11D-A099-09	0	2	8	0	15	0
TCGA-BH-A0DS-01A-11W-A071-09	21	0	0	0	6	0
TCGA-BH-A0DT-01A-21D-A12B-09	4	4	2	0	0	0
TCGA-BH-A0DV-01A-21D-A12Q-09	0	2	2	0	0	0
TCGA-BH-A0DX-01A-11D-A10Y-09	23	29	0	8	0	0
TCGA-BH-A0DZ-01A-11W-A019-09	30	112	0	121	0	0
TCGA-BH-A0E0-01A-11W-A071-09	27	0	3	0	0	0
TCGA-BH-A0E1-01A-11W-A071-09	17	7	0	7	0	0
TCGA-BH-A0E2-01A-11W-A071-09	15	2	11	0	0	1
TCGA-BH-A0E6-01A-11W-A050-09	21	0	12	0	11	0
TCGA-BH-A0E7-01A-11W-A050-09	16	3	4	0	15	0
TCGA-BH-A0E9-01B-11D-A10Y-09	0	0	2	0	5	0
TCGA-BH-A0EA-01A-11D-A10Y-09	3	3	4	0	10	0
TCGA-BH-A0EB-01A-11W-A050-09	0	3	13	0	18	0
TCGA-BH-A0EE-01A-11W-A050-09	30	24	13	8	0	0
TCGA-BH-A0EI-01A-11D-A10Y-09	10	0	5	0	3	0
TCGA-BH-A0GY-01A-11W-A071-09	6	0	6	0	16	0
TCGA-BH-A0GZ-01A-11W-A071-09	4	2	17	0	0	0
TCGA-BH-A0H0-01A-11W-A071-09	0	3	6	0	9	0
TCGA-BH-A0H3-01A-11D-A12Q-09	7	2	4	0	0	0
TCGA-BH-A0H5-01A-21D-A10Y-09	0	4	1	1	2	0
TCGA-BH-A0H6-01A-21W-A071-09	4	0	4	0	7	0
TCGA-BH-A0H7-01A-13W-A071-09	19	3	0	8	24	0
TCGA-BH-A0H9-01A-11W-A071-09	10	8	16	0	0	0
TCGA-BH-A0HA-01A-11D-A12Q-09	92	0	20	0	108	0
TCGA-BH-A0HB-01A-11W-A071-09	16	5	0	0	8	0
TCGA-BH-A0HF-01A-11W-A071-09	0	168	361	0	342	1
TCGA-BH-A0HI-01A-11D-A099-09	10	6	4	0	2	0
TCGA-BH-A0HK-01A-11W-A071-09	23	47	7	10	11	0
TCGA-BH-A0HL-01A-11W-A050-09	20	4	0	0	0	0
TCGA-BH-A0HN-01A-11D-A099-09	15	6	4	0	0	0
TCGA-BH-A0HO-01A-11W-A050-09	0	3	6	0	10	0
TCGA-BH-A0HP-01A-12D-A099-09	24	110	0	99	0	0
TCGA-BH-A0HQ-01A-11W-A050-09	6	7	3	0	5	0
TCGA-BH-A0HU-01A-11W-A050-09	14	0	18	0	0	0
TCGA-BH-A0HW-01A-11W-A050-09	0	0	0	0	29	0
TCGA-BH-A0HX-01A-21W-A071-09	3	0	34	4	5	0
TCGA-BH-A0HY-01A-11W-A071-09	12	3	24	0	8	0
TCGA-BH-A0RX-01A-21D-A099-09	12	1	0	0	0	0
TCGA-BH-A0W3-01A-11D-A10G-09	7	0	11	0	0	0
TCGA-BH-A0W4-01A-11D-A10G-09	11	6	13	0	0	0
TCGA-BH-A0W5-01A-11D-A10G-09	8	0	7	0	8	0
TCGA-BH-A0W7-01A-11D-A10Y-09	12	73	0	92	0	0
TCGA-BH-A0WA-01A-11D-A10G-09	9	14	53	0	8	1
TCGA-BH-A18F-01A-11D-A12B-09	28	10	11	0	0	0
TCGA-BH-A18G-01A-11D-A12B-09	0	0	222	0	1015	0
TCGA-BH-A18H-01A-11D-A12B-09	0	7	12	2	7	0
TCGA-BH-A18I-01A-11D-A12B-09	17	4	0	0	0	0
TCGA-BH-A18J-01A-11D-A12B-09	0	37	0	15	10	0
TCGA-BH-A18K-01A-11D-A12B-09	7	6	20	4	0	0
TCGA-BH-A18L-01A-32D-A12B-09	35	0	3	0	0	0
TCGA-BH-A18M-01A-11D-A12B-09	8	0	1	1	0	0
TCGA-BH-A18N-01A-11D-A12B-09	7	0	11	0	9	0
TCGA-BH-A18P-01A-11D-A12B-09	45	142	0	123	0	0
TCGA-BH-A18Q-01A-12D-A12B-09	13	0	56	0	5	0
TCGA-BH-A18R-01A-11D-A12B-09	0	2	18	0	4	0
TCGA-BH-A18S-01A-11D-A12B-09	2	0	10	3	8	0
TCGA-BH-A18T-01A-11D-A12B-09	5	0	50	0	14	0
TCGA-BH-A18U-01A-21D-A12B-09	13	20	21	12	24	0
TCGA-BH-A18V-01A-11D-A12B-09	0	25	114	41	0	0
TCGA-BH-A18V-06A-11D-A20S-09	7	8	59	28	0	0
TCGA-BH-A1EN-01A-11D-A17G-09	16	5	15	0	9	0
TCGA-BH-A1EO-01A-11D-A135-09	27	4	0	0	0	0
TCGA-BH-A1ES-01A-11D-A135-09	9	2	4	1	0	0
TCGA-BH-A1ES-06A-12D-A243-09	10	4	12	0	15	0
TCGA-BH-A1ET-01A-11D-A135-09	14	0	5	0	3	0
TCGA-BH-A1EU-01A-11D-A135-09	7	0	7	0	0	0
TCGA-BH-A1EV-01A-11D-A135-09	19	28	12	23	0	0
TCGA-BH-A1EW-01A-11D-A135-09	3	4	2	0	4	0
TCGA-BH-A1EX-01A-11D-A13L-09	7	0	1	0	7	0
TCGA-BH-A1EY-01A-11D-A13L-09	21	4	9	9	4	0
TCGA-BH-A1F0-01A-11D-A135-09	3	0	12	3	2	0
TCGA-BH-A1F2-01A-31D-A13L-09	16	11	11	0	11	0
TCGA-BH-A1F5-01A-12D-A13L-09	14	4	12	0	0	0
TCGA-BH-A1F6-01A-11D-A13L-09	34	0	15	0	0	0
TCGA-BH-A1F8-01A-11D-A13L-09	34	54	20	25	0	0
TCGA-BH-A1FC-01A-11D-A13L-09	28	9	24	10	0	0
TCGA-BH-A1FD-01A-11W-A14Q-09	6	0	5	0	10	0
TCGA-BH-A1FE-01A-11D-A13L-09	1	2	6	0	4	0
TCGA-BH-A1FG-01A-11D-A13L-09	1	0	3	1	12	0
TCGA-BH-A1FH-01A-12D-A13L-09	0	1	1	0	1	0
TCGA-BH-A1FJ-01A-11D-A13L-09	22	2	2	0	0	0
TCGA-BH-A1FL-01A-11D-A13L-09	12	1	2	0	6	0
TCGA-BH-A1FM-01A-11D-A13L-09	13	5	3	8	6	0
TCGA-BH-A1FN-01A-11D-A13L-09	0	25	39	42	0	1
TCGA-BH-A1FR-01A-11D-A13L-09	10	0	3	1	0	0
TCGA-BH-A1FU-01A-11D-A14G-09	6	0	11	2	7	0
TCGA-BH-A201-01A-11D-A14K-09	0	2	10	0	4	0
TCGA-BH-A202-01A-11D-A14K-09	10	3	11	0	0	0
TCGA-BH-A203-01A-12D-A167-09	24	6	6	5	17	0
TCGA-BH-A204-01A-11D-A159-09	22	0	12	0	4	0
TCGA-BH-A208-01A-11D-A159-09	13	13	13	15	0	0
TCGA-BH-A209-01A-11D-A17G-09	15	15	7	33	0	1
TCGA-BH-A28O-01A-11D-A228-09	6	5	6	9	0	0
TCGA-BH-A28Q-01A-11D-A16D-09	6	0	0	1	16	0
TCGA-BH-A2L8-01A-11D-A18P-09	0	222	0	192	0	0
TCGA-BH-A42T-01A-11D-A243-09	22	0	16	0	0	0
TCGA-BH-A42U-01A-12D-A243-09	1	6	7	0	0	0
TCGA-BH-A42V-01A-11D-A243-09	5	14	8	3	6	0
TCGA-BH-A5IZ-01A-11D-A27P-09	27	10	53	0	0	0
TCGA-BH-A5J0-01A-11D-A27P-09	22	32	5	5	0	0
TCGA-C8-A12K-01A-21D-A10Y-09	23	0	56	23	0	1
TCGA-C8-A12L-01A-11D-A10Y-09	17	0	42	0	7	0
TCGA-C8-A12M-01A-11D-A135-09	23	0	21	0	8	0
TCGA-C8-A12N-01A-11D-A10Y-09	0	0	12	3	7	0
TCGA-C8-A12O-01A-11D-A10Y-09	27	0	3	0	0	0
TCGA-C8-A12P-01A-11D-A10Y-09	38	50	22	41	0	0
TCGA-C8-A12Q-01A-11D-A10Y-09	24	36	10	30	0	0
TCGA-C8-A12T-01A-11D-A10Y-09	29	54	10	60	0	0
TCGA-C8-A12U-01A-11D-A10Y-09	12	4	5	3	11	0
TCGA-C8-A12V-01A-11D-A10Y-09	0	0	10	0	5	0
TCGA-C8-A12W-01A-11D-A10Y-09	42	0	0	0	0	0
TCGA-C8-A12X-01A-11D-A10Y-09	10	0	16	0	19	0
TCGA-C8-A12Y-01A-11D-A12B-09	15	0	0	0	16	0
TCGA-C8-A12Z-01A-11D-A10Y-09	24	10	3	8	0	0
TCGA-C8-A130-01A-31D-A10Y-09	31	0	4	3	0	0
TCGA-C8-A131-01A-11D-A10Y-09	17	6	18	0	8	0
TCGA-C8-A132-01A-31D-A10Y-09	9	0	19	13	6	0
TCGA-C8-A133-01A-32D-A12B-09	5	3	12	0	0	0
TCGA-C8-A134-01A-11D-A10Y-09	0	0	84	0	8	0
TCGA-C8-A135-01A-11D-A10Y-09	24	0	8	4	8	0
TCGA-C8-A137-01A-11D-A10Y-09	27	10	0	9	0	0
TCGA-C8-A138-01A-11D-A10Y-09	22	0	18	0	0	0
TCGA-C8-A1HE-01A-11D-A188-09	5	20	11	0	4	0
TCGA-C8-A1HF-01A-11D-A135-09	2	7	8	3	11	0
TCGA-C8-A1HG-01A-11D-A135-09	28	0	9	0	5	0
TCGA-C8-A1HI-01A-11D-A135-09	17	0	18	0	0	0
TCGA-C8-A1HJ-01A-11D-A13L-09	0	0	86	0	17	0
TCGA-C8-A1HK-01A-21D-A13L-09	10	4	10	19	5	0
TCGA-C8-A1HL-01A-11D-A135-09	0	0	13	0	14	0
TCGA-C8-A1HM-01A-12D-A135-09	38	63	43	153	0	0
TCGA-C8-A1HN-01A-11D-A135-09	29	0	15	0	0	0
TCGA-C8-A1HO-01A-11D-A13L-09	17	2	5	0	0	0
TCGA-C8-A26V-01A-11D-A16D-09	0	18	18	29	8	0
TCGA-C8-A26W-01A-11D-A16D-09	3	16	15	7	9	0
TCGA-C8-A26X-01A-31D-A16D-09	7	0	23	0	11	0
TCGA-C8-A26Y-01A-11D-A16D-09	46	257	123	254	0	0
TCGA-C8-A26Z-01A-11D-A16D-09	17	0	14	0	8	0
TCGA-C8-A273-01A-11D-A16D-09	16	0	2	0	0	0
TCGA-C8-A274-01A-11D-A16D-09	12	78	16	63	16	0
TCGA-C8-A275-01A-21D-A16D-09	8	30	24	50	8	0
TCGA-C8-A278-01A-11D-A167-09	15	2	9	0	0	0
TCGA-C8-A27A-01A-11D-A167-09	16	0	6	3	0	0
TCGA-C8-A27B-01A-11D-A167-09	0	0	72	50	14	0
TCGA-C8-A3M7-01A-12D-A21Q-09	47	92	24	13	0	0
TCGA-C8-A3M8-01A-11D-A20S-09	12	4	13	7	16	0
TCGA-D8-A13Y-01A-11D-A10Y-09	22	12	22	7	0	0
TCGA-D8-A13Z-01A-11D-A10Y-09	12	0	24	7	19	0
TCGA-D8-A140-01A-11D-A10Y-09	24	14	17	0	30	0
TCGA-D8-A141-01A-11D-A10Y-09	5	0	8	0	3	0
TCGA-D8-A142-01A-11D-A10Y-09	37	0	27	0	0	0
TCGA-D8-A143-01A-11D-A10Y-09	15	0	21	0	0	0
TCGA-D8-A145-01A-11D-A10Y-09	12	0	12	0	0	0
TCGA-D8-A146-01A-31D-A10Y-09	9	6	3	0	12	0
TCGA-D8-A147-01A-11D-A10Y-09	10	8	79	19	0	1
TCGA-D8-A1J8-01A-11D-A13L-09	79	205	65	192	146	0
TCGA-D8-A1J9-01A-11D-A13L-09	16	73	15	64	0	0
TCGA-D8-A1JA-01A-11D-A13L-09	78	260	0	595	0	0
TCGA-D8-A1JB-01A-11D-A13L-09	7	0	20	0	0	0
TCGA-D8-A1JC-01A-11D-A13L-09	35	18	15	13	0	0
TCGA-D8-A1JD-01A-11D-A13L-09	0	9	52	0	16	0
TCGA-D8-A1JE-01A-11D-A13L-09	16	0	8	0	9	0
TCGA-D8-A1JF-01A-11D-A13L-09	8	4	13	0	13	0
TCGA-D8-A1JG-01B-11D-A13L-09	59	0	43	8	0	0
TCGA-D8-A1JH-01A-11D-A188-09	0	0	9	0	10	0
TCGA-D8-A1JI-01A-11D-A13L-09	9	5	12	0	8	0
TCGA-D8-A1JJ-01A-31D-A14K-09	16	20	9	5	21	0
TCGA-D8-A1JK-01A-11D-A13L-09	0	21	118	0	24	0
TCGA-D8-A1JL-01A-11D-A13L-09	23	0	82	0	0	0
TCGA-D8-A1JM-01A-11D-A13L-09	22	0	16	0	0	0
TCGA-D8-A1JN-01A-11D-A13L-09	38	90	13	29	0	0
TCGA-D8-A1JP-01A-11D-A13L-09	0	0	99	0	0	0
TCGA-D8-A1JS-01A-11D-A13L-09	15	3	2	0	0	0
TCGA-D8-A1JT-01A-31D-A13L-09	5	0	13	0	11	0
TCGA-D8-A1JU-01A-11D-A13L-09	0	1	6	0	3	0
TCGA-D8-A1X5-01A-11D-A14G-09	21	0	11	0	12	0
TCGA-D8-A1X6-01A-11D-A14K-09	7	0	15	0	15	0
TCGA-D8-A1X7-01A-11D-A14K-09	15	0	5	2	5	0
TCGA-D8-A1X8-01A-11D-A14K-09	17	0	4	2	2	0
TCGA-D8-A1X9-01A-12D-A159-09	0	0	67	0	18	1
TCGA-D8-A1XA-01A-11D-A14G-09	13	2	5	0	0	0
TCGA-D8-A1XB-01A-11D-A14G-09	8	3	8	0	8	0
TCGA-D8-A1XC-01A-11D-A14G-09	0	3	9	0	19	0
TCGA-D8-A1XF-01A-11D-A14G-09	15	0	3	0	18	0
TCGA-D8-A1XG-01A-11D-A14G-09	0	2	6	0	14	0
TCGA-D8-A1XJ-01A-11D-A14K-09	51	23	0	0	0	0
TCGA-D8-A1XK-01A-21D-A14K-09	0	0	536	0	323	1
TCGA-D8-A1XL-01A-11D-A14K-09	21	0	65	0	0	0
TCGA-D8-A1XM-01A-21D-A14K-09	34	17	0	4	0	0
TCGA-D8-A1XO-01A-11D-A14K-09	6	7	5	0	0	0
TCGA-D8-A1XQ-01A-11D-A14K-09	79	0	267	0	280	1
TCGA-D8-A1XR-01A-11D-A14K-09	0	0	0	0	26	0
TCGA-D8-A1XS-01A-11D-A14K-09	12	3	4	0	0	0
TCGA-D8-A1XT-01A-11D-A14K-09	13	0	17	0	11	0
TCGA-D8-A1XU-01A-11D-A14K-09	13	7	2	0	3	0
TCGA-D8-A1XV-01A-11D-A14K-09	28	0	0	0	0	0
TCGA-D8-A1XW-01A-11D-A14K-09	26	0	56	0	0	0
TCGA-D8-A1XY-01A-11D-A14K-09	18	6	9	0	8	0
TCGA-D8-A1XZ-01A-11D-A14K-09	29	0	0	8	18	0
TCGA-D8-A1Y0-01A-11D-A14K-09	17	0	37	8	0	1
TCGA-D8-A1Y1-01A-21D-A14K-09	135	13	0	0	14	0
TCGA-D8-A1Y2-01A-11D-A159-09	8	10	0	2	0	0
TCGA-D8-A1Y3-01A-11D-A159-09	36	0	17	0	0	0
TCGA-D8-A27E-01A-11D-A16D-09	1	0	4	0	3	0
TCGA-D8-A27F-01A-11D-A16D-09	9	0	40	7	0	0
TCGA-D8-A27G-01A-11D-A16D-09	0	506	118	353	0	1
TCGA-D8-A27H-01A-11D-A16D-09	23	0	67	22	0	0
TCGA-D8-A27I-01A-11D-A16D-09	15	2	10	3	0	0
TCGA-D8-A27K-01A-11D-A16D-09	9	0	4	1	4	0
TCGA-D8-A27L-01A-11D-A16D-09	25	7	0	3	0	0
TCGA-D8-A27M-01A-11D-A16D-09	18	0	31	0	9	0
TCGA-D8-A27N-01A-11D-A16D-09	23	0	8	0	12	0
TCGA-D8-A27P-01A-11D-A16D-09	0	0	5	0	17	0
TCGA-D8-A27R-01A-11D-A16D-09	10	2	12	0	0	0
TCGA-D8-A27T-01A-11D-A16D-09	3	4	0	0	13	0
TCGA-D8-A27V-01A-12D-A17D-09	36	80	22	89	0	0
TCGA-D8-A27W-01A-11D-A16D-09	11	0	0	3	6	0
TCGA-D8-A3Z5-01A-41D-A243-09	0	2	14	0	9	0
TCGA-D8-A3Z6-01A-11D-A23C-09	0	7	13	0	10	0
TCGA-D8-A4Z1-01A-21D-A25Q-09	0	8	1	0	6	0
TCGA-E2-A105-01A-11D-A10M-09	11	6	13	0	18	0
TCGA-E2-A107-01A-11D-A10M-09	12	6	6	0	4	0
TCGA-E2-A108-01A-13D-A10M-09	5	12	18	17	0	0
TCGA-E2-A109-01A-11D-A10M-09	5	0	32	0	24	0
TCGA-E2-A10A-01A-21D-A10Y-09	1	3	11	0	0	0
TCGA-E2-A10B-01A-11D-A10M-09	0	14	9	2	13	0
TCGA-E2-A10C-01A-21D-A10M-09	34	192	0	130	0	0
TCGA-E2-A10E-01A-21D-A10M-09	14	0	0	2	9	0
TCGA-E2-A10F-01A-11D-A10M-09	19	2	0	2	5	0
TCGA-E2-A14N-01A-31D-A135-09	0	8	39	0	10	1
TCGA-E2-A14O-01A-31D-A10Y-09	24	0	8	0	0	0
TCGA-E2-A14P-01A-31D-A12B-09	24	21	17	5	10	0
TCGA-E2-A14Q-01A-11D-A12B-09	2	2	9	0	9	0
TCGA-E2-A14R-01A-11D-A10Y-09	17	0	73	10	10	0
TCGA-E2-A14S-01A-11D-A12B-09	7	0	5	0	23	0
TCGA-E2-A14T-01A-11D-A10Y-09	17	0	2	3	4	0
TCGA-E2-A14U-01A-11D-A228-09	4	3	7	0	4	0
TCGA-E2-A14V-01A-11D-A12B-09	27	8	22	14	0	0
TCGA-E2-A14W-01A-11D-A12B-09	0	0	54	9	9	0
TCGA-E2-A14X-01A-11D-A10Y-09	18	0	6	0	0	0
TCGA-E2-A14Y-01A-21D-A12B-09	10	8	8	5	0	0
